,NObeyesdad
0,1
1,1
2,1
3,2
4,3
5,1
6,1
7,1
8,1
9,1
10,4
11,3
12,1
13,4
14,1
15,1
16,3
17,4
18,3
19,2
20,3
21,4
22,1
23,4
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,3
32,1
33,3
34,1
35,3
36,1
37,1
38,1
39,3
40,2
41,1
42,1
43,1
44,1
45,3
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,2
66,3
67,4
68,5
69,1
70,3
71,0
72,1
73,1
74,3
75,0
76,0
77,3
78,4
79,1
80,1
81,3
82,4
83,0
84,3
85,1
86,1
87,2
88,1
89,3
90,5
91,1
92,2
93,1
94,1
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,4
105,1
106,1
107,2
108,4
109,4
110,1
111,1
112,1
113,1
114,1
115,1
116,4
117,3
118,1
119,3
120,2
121,3
122,0
123,1
124,3
125,2
126,1
127,1
128,1
129,3
130,1
131,1
132,1
133,1
134,4
135,2
136,1
137,4
138,1
139,1
140,0
141,1
142,4
143,2
144,2
145,2
146,1
147,4
148,1
149,4
150,1
151,1
152,2
153,3
154,4
155,1
156,1
157,1
158,2
159,3
160,1
161,3
162,1
163,1
164,3
165,5
166,1
167,3
168,2
169,3
170,3
171,1
172,1
173,1
174,2
175,1
176,1
177,1
178,1
179,2
180,1
181,1
182,0
183,3
184,2
185,2
186,4
187,4
188,4
189,1
190,1
191,2
192,2
193,1
194,4
195,2
196,1
197,5
198,0
199,1
200,4
201,4
202,6
203,4
204,1
205,4
206,4
207,1
208,1
209,1
210,5
211,1
212,3
213,1
214,1
215,1
216,1
217,2
218,1
219,2
220,2
221,3
222,1
223,1
224,4
225,5
226,1
227,1
228,3
229,5
230,2
231,1
232,1
233,3
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,2
242,1
243,3
244,1
245,0
246,1
247,1
248,1
249,2
250,3
251,3
252,3
253,1
254,1
255,2
256,3
257,4
258,3
259,4
260,2
261,2
262,1
263,0
264,1
265,0
266,0
267,3
268,1
269,1
270,4
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,4
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,4
295,1
296,1
297,2
298,1
299,2
300,1
301,1
302,0
303,1
304,2
305,5
306,1
307,1
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,2
320,1
321,1
322,0
323,1
324,2
325,1
326,1
327,2
328,1
329,4
330,0
331,1
332,1
333,1
334,2
335,0
336,1
337,1
338,2
339,0
340,1
341,1
342,4
343,1
344,6
345,1
346,1
347,3
348,1
349,4
350,1
351,1
352,1
353,1
354,1
355,2
356,0
357,1
358,5
359,1
360,1
361,4
362,2
363,1
364,2
365,1
366,3
367,2
368,3
369,3
370,1
371,2
372,1
373,1
374,1
375,3
376,1
377,1
378,1
379,1
380,3
381,1
382,1
383,4
384,1
385,1
386,1
387,4
388,4
389,2
390,0
391,0
392,1
393,3
394,1
395,0
396,1
397,1
398,5
399,1
400,2
401,1
402,3
403,6
404,1
405,3
406,1
407,2
408,1
409,1
410,1
411,2
412,1
413,3
414,4
415,1
416,2
417,3
418,4
419,4
420,0
421,0
422,1
423,3
424,2
425,1
426,1
427,1
428,1
429,1
430,4
431,1
432,1
433,1
434,1
435,2
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,2
448,5
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,2
460,1
461,4
462,3
463,1
464,1
465,1
466,1
467,1
468,0
469,0
470,1
471,4
472,3
473,1
474,1
475,2
476,2
477,1
478,1
479,1
480,1
481,1
482,1
483,2
484,3
485,1
486,1
487,4
488,1
489,1
490,3
491,1
492,3
493,1
494,1
495,1
496,0
497,1
498,6
499,6
500,6
501,6
502,6
503,6
504,6
505,6
506,6
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,2
746,2
747,2
748,2
749,2
750,2
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,2
773,2
774,2
775,2
776,2
777,2
778,2
779,2
780,2
781,2
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,2
809,2
810,2
811,2
